neighborhood,room_type,current_year_count,count_bin,price,price_range
Nob Hill,Entire home/apt,235,201-250,150,$100-$199
Noe Valley,Entire home/apt,37,Less than 50,181,$100-$199
Bernal Heights,Entire home/apt,110,101-150,250,$200-$299
Mission District,Private room,389,More than 301,125,$100-$199
Potrero Hill,Entire home/apt,259,251-300,150,$100-$199
Mission District,Entire home/apt,221,201-250,270,$200-$299
Bernal Heights,Entire home/apt,32,Less than 50,195,$100-$199
Potrero Hill,Entire home/apt,17,Less than 50,325,$300-$399
Haight-Ashbury,Private room,4,Less than 50,89,Less than $100
Haight-Ashbury,Private room,5,Less than 50,89,Less than $100
The Castro,Private room,291,251-300,69,Less than $100
Bernal Heights,Entire home/apt,28,Less than 50,171,$100-$199
Mission District,Private room,21,Less than 50,145,$100-$199
Mission District,Private room,130,101-150,75,Less than $100
Mission District,Entire home/apt,58,51-100,215,$200-$299
Pacific Heights,Entire home/apt,142,101-150,200,$200-$299
Hayes Valley,Private room,205,201-250,120,$100-$199
Mission District,Entire home/apt,194,151-200,188,$100-$199
The Castro,Entire home/apt,36,Less than 50,350,$300-$399
The Castro,Entire home/apt,78,51-100,195,$100-$199
Nob Hill,Entire home/apt,67,51-100,125,$100-$199
Bernal Heights,Private room,165,151-200,98,Less than $100
The Castro,Entire home/apt,221,201-250,165,$100-$199
Potrero Hill,Private room,178,151-200,158,$100-$199
Haight-Ashbury,Private room,95,51-100,79,Less than $100
Western Addition/NOPA,Entire home/apt,152,151-200,160,$100-$199
Mission District,Entire home/apt,1,Less than 50,190,$100-$199
Potrero Hill,Private room,212,201-250,125,$100-$199
Western Addition/NOPA,Entire home/apt,7,Less than 50,395,$300-$399
SoMa,Entire home/apt,7,Less than 50,199,$100-$199
Western Addition/NOPA,Private room,30,Less than 50,110,$100-$199
Noe Valley,Private room,182,151-200,99,Less than $100
The Castro,Entire home/apt,69,51-100,185,$100-$199
Western Addition/NOPA,Entire home/apt,1,Less than 50,500,$500-$999
Bernal Heights,Entire home/apt,9,Less than 50,180,$100-$199
Noe Valley,Private room,36,Less than 50,275,$200-$299
Bernal Heights,Entire home/apt,87,51-100,150,$100-$199
Potrero Hill,Entire home/apt,416,More than 301,200,$200-$299
Potrero Hill,Entire home/apt,368,More than 301,200,$200-$299
Mission District,Private room,25,Less than 50,145,$100-$199
Nob Hill,Entire home/apt,39,Less than 50,125,$100-$199
Noe Valley,Entire home/apt,17,Less than 50,140,$100-$199
The Castro,Entire home/apt,33,Less than 50,159,$100-$199
Bernal Heights,Private room,118,101-150,128,$100-$199
Mission District,Entire home/apt,7,Less than 50,300,$300-$399
Hayes Valley,Entire home/apt,82,51-100,165,$100-$199
Bernal Heights,Entire home/apt,5,Less than 50,100,$100-$199
Bernal Heights,Entire home/apt,4,Less than 50,100,$100-$199
Mission District,Entire home/apt,6,Less than 50,95,Less than $100
Haight-Ashbury,Entire home/apt,7,Less than 50,175,$100-$199
Mission District,Private room,227,201-250,79,Less than $100
Mission District,Entire home/apt,3,Less than 50,175,$100-$199
The Castro,Entire home/apt,68,51-100,149,$100-$199
Hayes Valley,Private room,15,Less than 50,125,$100-$199
Noe Valley,Entire home/apt,14,Less than 50,160,$100-$199
Hayes Valley,Entire home/apt,20,Less than 50,239,$200-$299
Noe Valley,Private room,9,Less than 50,250,$200-$299
Inner Sunset,Entire home/apt,119,101-150,309,$300-$399
SoMa,Private room,104,101-150,140,$100-$199
Bernal Heights,Private room,101,101-150,70,Less than $100
Downtown,Entire home/apt,209,201-250,188,$100-$199
Western Addition/NOPA,Entire home/apt,259,251-300,245,$200-$299
Western Addition/NOPA,Entire home/apt,90,51-100,400,$400-$499
Bernal Heights,Entire home/apt,134,101-150,150,$100-$199
Mission District,Private room,44,Less than 50,99,Less than $100
SoMa,Entire home/apt,69,51-100,225,$200-$299
Noe Valley,Entire home/apt,137,101-150,145,$100-$199
Bernal Heights,Private room,154,151-200,150,$100-$199
SoMa,Entire home/apt,132,101-150,200,$200-$299
Noe Valley,Private room,20,Less than 50,109,$100-$199
Mission District,Entire home/apt,31,Less than 50,667,$500-$999
Mission District,Entire home/apt,175,151-200,149,$100-$199
Mission District,Entire home/apt,104,101-150,125,$100-$199
The Castro,Private room,36,Less than 50,1000,$1000+
Richmond District,Entire home/apt,69,51-100,130,$100-$199
